"SubscriptionName","ResourceGroup","Name","Type","TagsFaltando","TagsPresentes"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","AADLogin","microsoft.compute/virtualmachines/extensions","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","Microsoft.PowerShell.DSC","microsoft.compute/virtualmachines/extensions","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","joindomain","microsoft.compute/virtualmachines/extensions","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","n8n-foresight","microsoft.containerinstance/containergroups","departamento, ambiente, projeto, centrocusto","environment, service, subscription, version, proxy, https"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","20b8b8ac96c44c1eb29519bbf5b47698","microsoft.containerregistry/registries","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresighcr001","microsoft.containerregistry/registries","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","iai4001","microsoft.containerregistry/registries","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","lideranca","microsoft.containerregistry/registries","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","diaplanapp083000","microsoft.containerregistry/registries/webhooks","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-dbw001","microsoft.databricks/workspaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finops-hub-engine-cmf5jvnhltgzq","microsoft.datafactory/factories","departamento, ambiente, projeto, centrocusto","environment, cm-resource-parent, application, subscription, ftk-version, ftk-tool"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-adf001","microsoft.datafactory/factories","departamento, ambiente, projeto, centrocusto","environment, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoesp-1718562c148146febcfc483bd283f2a3-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050p-41ae1acd1cd9449f9bd10a0258767187-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressod-f317c9210dae45479f43bc5577ed93c9-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
