"SubscriptionName","ResourceGroup","Name","Type","PrefixEsperado","Problema"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","pla-we-prd-lideranc-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-netsec-rg001","pla-we-prd-shared-vnet001","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","plawenprddatadl001_vNet2003347","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","siail-prd-v3Vnet","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","siail-prd-v3Vnet","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","siail-prd-v4Vnet","microsoft.network/virtualnetworks","vnet","Nome não segue padrão v2.0: esperado 'vnet-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","defaultresourcegroup-neu","DefaultWorkspace-4fae9137-e1bc-4ee1-ba0a-00cde430bfb3-NEU","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azlog5u3e7b567y2fg","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","mldev0012969547486","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimento-parecer-logs","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","workspace-plaweprdforesighrg001qwBI","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","workspaceplawei4iarg00199eb","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","workspaceplaweprdliderancrg001ac27","microsoft.operationalinsights/workspaces","law","Nome não segue padrão v2.0: esperado 'law-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","pla-we-prd-shared-rsv001","microsoft.recoveryservices/vaults","rsv","Nome não segue padrão v2.0: esperado 'rsv-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-sql001","microsoft.sql/servers","sql","Nome não segue padrão v2.0: esperado 'sql-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","master","microsoft.sql/servers/databases","sqldb","Nome não segue padrão v2.0: esperado 'sqldb-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-sqldb-stg-002","microsoft.sql/servers/databases","sqldb","Nome não segue padrão v2.0: esperado 'sqldb-[workload]-[ambiente]-[regiao]-NNN'"
